Fri Aug 12 02:08:09 UTC 2022 Starting regionserver on server2
core file size          (blocks, -c) unlimited
2022-08-12 02:08:34,302 INFO  [RS_CLOSE_META-regionserver/server2:16020-0] regionserver.HRegionServer: Post open deploy tasks for hbase:meta,,1.1588230740, openProcId=3, masterSystemTime=1660270113238
2022-08-12 02:08:34,461 INFO  [RS_CLOSE_META-regionserver/server2:16020-0] handler.AssignRegionHandler: Opened hbase:meta,,1.1588230740
2022-08-12 02:08:35,552 INFO  [HBase-Metrics2-1] impl.GlobalMetricRegistriesAdapter: Registering RegionServer,sub=Coprocessor.Region.CP_org.apache.hadoop.hbase.coprocessor.MultiRowMutationEndpoint Metrics about HBase RegionObservers
2022-08-12 02:08:36,268 INFO  [regionserver/server2:16020] wal.AbstractFSWAL: WAL configuration: blocksize=256 MB, rollsize=128 MB, prefix=server2%2C16020%2C1660270093369, suffix=, logDir=hdfs://mycluster/hbase/WALs/server2,16020,1660270093369, archiveDir=hdfs://mycluster/hbase/oldWALs
2022-08-12 02:08:36,324 INFO  [regionserver/server2:16020] wal.AbstractFSWAL: New WAL /hbase/WALs/server2,16020,1660270093369/server2%2C16020%2C1660270093369.1660270116272
2022-08-12 02:08:59,560 INFO  [main-SendThread(10.5.0.7:2181)] zookeeper.ClientCnxn: Unable to read additional data from server sessionid 0x1000013ce2e0002, likely server has closed socket, closing socket connection and attempting reconnect
2022-08-12 02:08:59,565 INFO  [ReadOnlyZKClient-10.5.0.7:2181,10.5.0.6:2181,10.5.0.13:2181@0x31ae97a3-SendThread(10.5.0.7:2181)] zookeeper.ClientCnxn: Unable to read additional data from server sessionid 0x1000013ce2e0004, likely server has closed socket, closing socket connection and attempting reconnect
2022-08-12 02:08:59,793 INFO  [main-SendThread(10.5.0.6:2181)] zookeeper.ClientCnxn: Opening socket connection to server 10.5.0.6/10.5.0.6:2181. Will not attempt to authenticate using SASL (unknown error)
2022-08-12 02:08:59,794 INFO  [main-SendThread(10.5.0.6:2181)] zookeeper.ClientCnxn: Socket connection established to 10.5.0.6/10.5.0.6:2181, initiating session
2022-08-12 02:08:59,814 INFO  [main-SendThread(10.5.0.6:2181)] zookeeper.ClientCnxn: Unable to read additional data from server sessionid 0x1000013ce2e0002, likely server has closed socket, closing socket connection and attempting reconnect
2022-08-12 02:09:00,457 INFO  [ReadOnlyZKClient-10.5.0.7:2181,10.5.0.6:2181,10.5.0.13:2181@0x31ae97a3-SendThread(10.5.0.13:2181)] zookeeper.ClientCnxn: Opening socket connection to server 10.5.0.13/10.5.0.13:2181. Will not attempt to authenticate using SASL (unknown error)
